File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
dataset/humaneval_transformation_new/HumanEval_0.py-bdf18e35627214cfba697770034f07cd4dfbb57790fed12d813f70a8eb9d9806,9,4,15,5,3,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_0.py-bdf18e35627214cfba697770034f07cd4dfbb57790fed12d813f70a8eb9d9806.log
dataset/humaneval_transformation_new/HumanEval_100.py-eeb1e022e717c6504dc59d57dbb73e0f75c4415077489b79bd47a161e00da742,4,0,0,6,2,1,3,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_100.py-eeb1e022e717c6504dc59d57dbb73e0f75c4415077489b79bd47a161e00da742.log
dataset/humaneval_transformation_new/HumanEval_101.py-3928bede277e73f6d2ae1dd258e9e631b08ed28c772014d8b9cb81d6ba01af0f,16,4,4,6,1,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_101.py-3928bede277e73f6d2ae1dd258e9e631b08ed28c772014d8b9cb81d6ba01af0f.log
dataset/humaneval_transformation_new/HumanEval_102.py-46bb64da274508123ea177f32573f659de84f15c016abd770c25c0a694dd325e,16,5,3,4,1,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_102.py-46bb64da274508123ea177f32573f659de84f15c016abd770c25c0a694dd325e.log
dataset/humaneval_transformation_new/HumanEval_103.py-68be92032b92750b97039a6a20b944034be255df51d7990ca78ddab34e0c98df,7,2,0,5,4,1,2,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_103.py-68be92032b92750b97039a6a20b944034be255df51d7990ca78ddab34e0c98df.log
dataset/humaneval_transformation_new/HumanEval_104.py-8a92794a865107a37f6ade3aa2747ebadaef439ecafd7012239133ec95e018c4,7,4,6,7,2,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_104.py-8a92794a865107a37f6ade3aa2747ebadaef439ecafd7012239133ec95e018c4.log
dataset/humaneval_transformation_new/HumanEval_105.py-fd7cab3a84098325e9292017f359c7cba847e528681241e03f4fd0102f2f0b08,5,0,0,6,5,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_105.py-fd7cab3a84098325e9292017f359c7cba847e528681241e03f4fd0102f2f0b08.log
dataset/humaneval_transformation_new/HumanEval_106.py-dde8f99e3f791a8821a6f33de9438044d5c26d0c831f6306f333477d9a1f0c75,9,7,20,5,0,0,2,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_106.py-dde8f99e3f791a8821a6f33de9438044d5c26d0c831f6306f333477d9a1f0c75.log
dataset/humaneval_transformation_new/HumanEval_107.py-d467d0703a197cf085a747ae97c91d01c5a62dc34dbd6bccc42858a8487b1287,7,4,3,4,4,1,2,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_107.py-d467d0703a197cf085a747ae97c91d01c5a62dc34dbd6bccc42858a8487b1287.log
dataset/humaneval_transformation_new/HumanEval_108.py-f2ef34b88b85681859aa70e9941af030e3dd6d534dd05ce55fda382ec91e950b,5,3,1,9,6,1,1,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_108.py-f2ef34b88b85681859aa70e9941af030e3dd6d534dd05ce55fda382ec91e950b.log
dataset/humaneval_transformation_new/HumanEval_109.py-98ef11f1ed61160e920de5ca8f7c23d600f949026520ce13372e8be2d2f194d4,7,2,1,7,4,1,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_109.py-98ef11f1ed61160e920de5ca8f7c23d600f949026520ce13372e8be2d2f194d4.log
dataset/humaneval_transformation_new/HumanEval_10.py-021894124500ed3963ce96869324f6522191c9022adac32d69f48bc9f76a6139,6,2,0,2,3,1,4,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_10.py-021894124500ed3963ce96869324f6522191c9022adac32d69f48bc9f76a6139.log
dataset/humaneval_transformation_new/HumanEval_110.py-9c49d1dfd3dba2ba14029675d9b44b3bfad9885d2d4839c9a143d230b87a3e77,10,4,3,4,3,1,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_110.py-9c49d1dfd3dba2ba14029675d9b44b3bfad9885d2d4839c9a143d230b87a3e77.log
dataset/humaneval_transformation_new/HumanEval_111.py-f2c605dfcfbc881a6d1b0c40b89034e379a92115b11415d301eac779978b5958,17,4,7,5,2,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_111.py-f2c605dfcfbc881a6d1b0c40b89034e379a92115b11415d301eac779978b5958.log
dataset/humaneval_transformation_new/HumanEval_112.py-764bef45649b9aa72f37438de926c4a8658cab486b91bab44af220d53b34c613,3,1,0,6,6,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_112.py-764bef45649b9aa72f37438de926c4a8658cab486b91bab44af220d53b34c613.log
dataset/humaneval_transformation_new/HumanEval_113.py-522086495992f090c7f891f0441107fdb953a3957192dce05b26ebc8163abf2f,5,0,0,6,3,0,1,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_113.py-522086495992f090c7f891f0441107fdb953a3957192dce05b26ebc8163abf2f.log
dataset/humaneval_transformation_new/HumanEval_114.py-1d5c048561a70dd80ac06ea3413e309b792c96353ca5d8bc25211c548d761b4f,7,3,2,7,4,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_114.py-1d5c048561a70dd80ac06ea3413e309b792c96353ca5d8bc25211c548d761b4f.log
dataset/humaneval_transformation_new/HumanEval_115.py-926d39b43898d3364fe01d2d14faebfa31d800bef9e98f6aca03d0b1223a2011,3,0,0,8,7,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_115.py-926d39b43898d3364fe01d2d14faebfa31d800bef9e98f6aca03d0b1223a2011.log
dataset/humaneval_transformation_new/HumanEval_116.py-f5e538537c247245641028abe1581ca838923e7bfd99273ec33434909d16be18,3,0,0,7,7,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_116.py-f5e538537c247245641028abe1581ca838923e7bfd99273ec33434909d16be18.log
dataset/humaneval_transformation_new/HumanEval_117.py-638fc071d2806dfa5c8c13ddd077c3d66db945e5d8329f73a7710114a5f807cc,9,4,5,8,1,0,2,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_117.py-638fc071d2806dfa5c8c13ddd077c3d66db945e5d8329f73a7710114a5f807cc.log
dataset/humaneval_transformation_new/HumanEval_118.py-7bba3e6045e5d50ad736940e9a3d094b49920798b4df710c5b13284be31a86fb,14,6,4,5,2,0,0,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_118.py-7bba3e6045e5d50ad736940e9a3d094b49920798b4df710c5b13284be31a86fb.log
dataset/humaneval_transformation_new/HumanEval_119.py-6aa2aaeeed8d714110d12e45c291b93936fe1a88be56d285d4ee30dfd778eb04,9,3,4,4,3,1,2,existing_benchmarks//humaneval/44c010c6f1e3851a51caa22348463e5b77c2ef96/dataset_humaneval_transformation_new_HumanEval_119.py-6aa2aaeeed8d714110d12e45c291b93936fe1a88be56d285d4ee30dfd778eb04.log
