File,Base complexity,Predicates with operators,Nested levels,Complex code structures,Third-Party calls,Inter_dependencies,Intra_dependencies,Log
programs_final1h/classeval/ClassEval_0.py-0dfd63ee7acf9e238d57b553d8e035904229c7919c510024c991248b795b6d1c,14,3,3,6,7,0,3,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_0.py-0dfd63ee7acf9e238d57b553d8e035904229c7919c510024c991248b795b6d1c.log
programs_final1h/classeval/ClassEval_1.py-03063033f85b5912b6d2264147241f85550a5a208ed9f88925a48b4b9bc9356a,7,0,0,0,1,2,6,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_1.py-03063033f85b5912b6d2264147241f85550a5a208ed9f88925a48b4b9bc9356a.log
programs_final1h/classeval/ClassEval_11.py-a9194741bc9b79a1a3445d692f1a59e39cd5b75f8198fe7919f3b463848ceda8,9,3,5,16,2,0,1,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_11.py-a9194741bc9b79a1a3445d692f1a59e39cd5b75f8198fe7919f3b463848ceda8.log
programs_final1h/classeval/ClassEval_12.py-12dc27c13b2498803265aaaf4de84df82c38afd7fdf5bd693fbb72218232bfc3,18,9,5,8,4,1,3,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_12.py-12dc27c13b2498803265aaaf4de84df82c38afd7fdf5bd693fbb72218232bfc3.log
programs_final1h/classeval/ClassEval_13.py-81fc7b78b32f498fa374343e09ff204a497fa8b0fb45aaee93b67dffbfc957c3,13,9,9,2,1,0,0,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_13.py-81fc7b78b32f498fa374343e09ff204a497fa8b0fb45aaee93b67dffbfc957c3.log
programs_final1h/classeval/ClassEval_14.py-666cce8fc088b2456b0ead4a319607e5d23dedc38779b9971c2eb7407c8268af,11,0,0,5,9,0,1,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_14.py-666cce8fc088b2456b0ead4a319607e5d23dedc38779b9971c2eb7407c8268af.log
programs_final1h/classeval/ClassEval_15.py-93b769e5b07c5cf3eb7d0248ffd648223dca7da5c5122ef247e3e79be48e3686,11,11,5,5,4,1,2,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_15.py-93b769e5b07c5cf3eb7d0248ffd648223dca7da5c5122ef247e3e79be48e3686.log
programs_final1h/classeval/ClassEval_16.py-c5fca87420558964be929942dc6e64e2f698237e55bd80a41f16b2c0a0ae6643,18,7,9,16,4,1,5,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_16.py-c5fca87420558964be929942dc6e64e2f698237e55bd80a41f16b2c0a0ae6643.log
programs_final1h/classeval/ClassEval_18.py-e5d601f06355b000d37dcf66d03301145d51fcef54256f0c324e4c6aa1899a23,12,1,1,8,2,1,4,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_18.py-e5d601f06355b000d37dcf66d03301145d51fcef54256f0c324e4c6aa1899a23.log
programs_final1h/classeval/ClassEval_19.py-06a166205c8009714b31163e2f31c1ea02b330e642ca78a18daebc20f1003be5,14,6,6,7,3,1,1,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_19.py-06a166205c8009714b31163e2f31c1ea02b330e642ca78a18daebc20f1003be5.log
programs_final1h/classeval/ClassEval_2.py-d4e0fec64ff0336f273d7a4c33d2b39d14daefece6c23875ed9df0f9f1772db7,17,3,9,4,3,1,2,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_2.py-d4e0fec64ff0336f273d7a4c33d2b39d14daefece6c23875ed9df0f9f1772db7.log
programs_final1h/classeval/ClassEval_20.py-a789d9c8266c19b0126326e1be9c48df16dc95563e744de244439f167a5db5e6,15,9,9,4,2,0,0,final_transformations//classeval/e61f1b64b410c135e56019f165444dce51b798b3/programs_final1h_classeval_ClassEval_20.py-a789d9c8266c19b0126326e1be9c48df16dc95563e744de244439f167a5db5e6.log
