File, Base complexity, Predicates with operators, Nested levels, Complex code structures, Third-Party calls, Inter_dependencies, Intra_dependencies, Log
src/sqlfluff/cli/commands.py,{'File', 'src/sqlfluff/cli/commands.py', 'Base complexity', 111, 'Predicates with operators', 46, 'Nested levels', 32, 'Complex code structures', 114, 'Third-Party calls', 143, 'Inter_dependencies', 22, 'Intra_dependencies', 37, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_cli_commands.py.log'}
src/sqlfluff/cli/formatters.py,{'File', 'src/sqlfluff/cli/formatters.py', 'Base complexity', 83, 'Predicates with operators', 31, 'Nested levels', 29, 'Complex code structures', 21, 'Third-Party calls', 13, 'Inter_dependencies', 9, 'Intra_dependencies', 56, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_cli_formatters.py.log'}
src/sqlfluff/core/linter/linted_dir.py,{'File', 'src/sqlfluff/core/linter/linted_dir.py', 'Base complexity', 20, 'Predicates with operators', 1, 'Nested levels', 1, 'Complex code structures', 17, 'Third-Party calls', 0, 'Inter_dependencies', 0, 'Intra_dependencies', 0, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linted_dir.py.log'}
docs/generate-rule-docs.py,{'File', 'docs/generate-rule-docs.py', 'Base complexity', 3, 'Predicates with operators', 3, 'Nested levels', 11, 'Complex code structures', 0, 'Third-Party calls', 2, 'Inter_dependencies', 1, 'Intra_dependencies', 0, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/docs_generate-rule-docs.py.log'}
src/sqlfluff/rules/layout/LT12.py,{'File', 'src/sqlfluff/rules/layout/LT12.py', 'Base complexity', 13, 'Predicates with operators', 4, 'Nested levels', 4, 'Complex code structures', 7, 'Third-Party calls', 0, 'Inter_dependencies', 12, 'Intra_dependencies', 2, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_rules_layout_LT12.py.log'}
src/sqlfluff/core/linter/linter.py,{'File', 'src/sqlfluff/core/linter/linter.py', 'Base complexity', 119, 'Predicates with operators', 40, 'Nested levels', 135, 'Complex code structures', 66, 'Third-Party calls', 35, 'Inter_dependencies', 26, 'Intra_dependencies', 22, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linter.py.log'}
src/sqlfluff/core/templaters/slicers/tracer.py,
src/sqlfluff/core/linter/linted_file.py,{'File', 'src/sqlfluff/core/linter/linted_file.py', 'Base complexity', 67, 'Predicates with operators', 28, 'Nested levels', 25, 'Complex code structures', 43, 'Third-Party calls', 13, 'Inter_dependencies', 0, 'Intra_dependencies', 11, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linted_file.py.log'}
src/sqlfluff/core/linter/linting_result.py,{'File', 'src/sqlfluff/core/linter/linting_result.py', 'Base complexity', 42, 'Predicates with operators', 4, 'Nested levels', 15, 'Complex code structures', 25, 'Third-Party calls', 3, 'Inter_dependencies', 3, 'Intra_dependencies', 5, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linting_result.py.log'}
src/sqlfluff/core/linter/common.py,{'File', 'src/sqlfluff/core/linter/common.py', 'Base complexity', 5, 'Predicates with operators', 0, 'Nested levels', 0, 'Complex code structures', 0, 'Third-Party calls', 0, 'Inter_dependencies', 0, 'Intra_dependencies', 0, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_common.py.log'}
src/sqlfluff/core/linter/linted_file.py,{'File', 'src/sqlfluff/core/linter/linted_file.py', 'Base complexity', 52, 'Predicates with operators', 27, 'Nested levels', 20, 'Complex code structures', 30, 'Third-Party calls', 8, 'Inter_dependencies', 2, 'Intra_dependencies', 7, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_linter_linted_file.py.log'}
src/sqlfluff/core/parser/lexer.py,{'File', 'src/sqlfluff/core/parser/lexer.py', 'Base complexity', 66, 'Predicates with operators', 20, 'Nested levels', 61, 'Complex code structures', 26, 'Third-Party calls', 2, 'Inter_dependencies', 13, 'Intra_dependencies', 17, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_parser_lexer.py.log'}
src/sqlfluff/core/parser/segments/base.py,{'File', 'src/sqlfluff/core/parser/segments/base.py', 'Base complexity', 171, 'Predicates with operators', 57, 'Nested levels', 107, 'Complex code structures', 100, 'Third-Party calls', 11, 'Inter_dependencies', 16, 'Intra_dependencies', 24, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_parser_segments_base.py.log'}
src/sqlfluff/core/rules/base.py,
src/sqlfluff/core/templaters/slicers/tracer.py,{'File', 'src/sqlfluff/core/templaters/slicers/tracer.py', 'Base complexity', 49, 'Predicates with operators', 33, 'Nested levels', 33, 'Complex code structures', 24, 'Third-Party calls', 8, 'Inter_dependencies', 6, 'Intra_dependencies', 21, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_templaters_slicers_tracer.py.log'}
src/sqlfluff/rules/L009.py,{'File', 'src/sqlfluff/rules/L009.py', 'Base complexity', 7, 'Predicates with operators', 4, 'Nested levels', 1, 'Complex code structures', 7, 'Third-Party calls', 0, 'Inter_dependencies', 11, 'Intra_dependencies', 0, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_rules_L009.py.log'}
plugins/sqlfluff-templater-dbt/sqlfluff_templater_dbt/templater.py,{'File', 'plugins/sqlfluff-templater-dbt/sqlfluff_templater_dbt/templater.py', 'Base complexity', 68, 'Predicates with operators', 23, 'Nested levels', 17, 'Complex code structures', 25, 'Third-Party calls', 24, 'Inter_dependencies', 15, 'Intra_dependencies', 11, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/plugins_sqlfluff-templater-dbt_sqlfluff_templater_dbt_templater.py.log'}
src/sqlfluff/core/templaters/base.py,{'File', 'src/sqlfluff/core/templaters/base.py', 'Base complexity', 56, 'Predicates with operators', 34, 'Nested levels', 25, 'Complex code structures', 11, 'Third-Party calls', 2, 'Inter_dependencies', 0, 'Intra_dependencies', 5, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_templaters_base.py.log'}
src/sqlfluff/core/templaters/jinja.py,{'File', 'src/sqlfluff/core/templaters/jinja.py', 'Base complexity', 53, 'Predicates with operators', 10, 'Nested levels', 26, 'Complex code structures', 20, 'Third-Party calls', 5, 'Inter_dependencies', 8, 'Intra_dependencies', 14, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_templaters_jinja.py.log'}
src/sqlfluff/core/rules/analysis/select.py,{'File', 'src/sqlfluff/core/rules/analysis/select.py', 'Base complexity', 24, 'Predicates with operators', 15, 'Nested levels', 31, 'Complex code structures', 9, 'Third-Party calls', 0, 'Inter_dependencies', 0, 'Intra_dependencies', 3, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_rules_analysis_select.py.log'}
src/sqlfluff/core/rules/reference.py,{'File', 'src/sqlfluff/core/rules/reference.py', 'Base complexity', 7, 'Predicates with operators', 4, 'Nested levels', 3, 'Complex code structures', 1, 'Third-Party calls', 0, 'Inter_dependencies', 0, 'Intra_dependencies', 0, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_core_rules_reference.py.log'}
src/sqlfluff/dialects/dialect_ansi.py,{'File', 'src/sqlfluff/dialects/dialect_ansi.py', 'Base complexity', 143, 'Predicates with operators', 6, 'Nested levels', 2, 'Complex code structures', 273, 'Third-Party calls', 0, 'Inter_dependencies', 1230, 'Intra_dependencies', 8, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_dialects_dialect_ansi.py.log'}
src/sqlfluff/dialects/dialect_bigquery.py,{'File', 'src/sqlfluff/dialects/dialect_bigquery.py', 'Base complexity', 45, 'Predicates with operators', 5, 'Nested levels', 1, 'Complex code structures', 87, 'Third-Party calls', 1, 'Inter_dependencies', 352, 'Intra_dependencies', 2, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_dialects_dialect_bigquery.py.log'}
src/sqlfluff/rules/L025.py,{'File', 'src/sqlfluff/rules/L025.py', 'Base complexity', 15, 'Predicates with operators', 4, 'Nested levels', 10, 'Complex code structures', 14, 'Third-Party calls', 5, 'Inter_dependencies', 9, 'Intra_dependencies', 2, 'Log', '/home/yang/Benchmark//existing_benchmarks//swe-bench/83bf11bd2079f07fefe7558583f0548ac48874e5/src_sqlfluff_rules_L025.py.log'}
